"<!DOCTYPE html>"
"<html itemscope itemtype=""http://schema.org/QAPage"">"
""
"<head>"
""
"<title>javascript - update session and refresh page with ajax/jquery - Stack Overflow</title>"
"    <link rel=""shortcut icon"" href=""https://cdn.sstatic.net/Sites/stackoverflow/img/favicon.ico?v=4f32ecc8f43d"">"
"    <link rel=""apple-touch-icon image_src"" href=""https://cdn.sstatic.net/Sites/stackoverflow/img/apple-touch-icon.png?v=c78bd457575a"">"
"    <link rel=""search"" type=""application/opensearchdescription+xml"" title=""Stack Overflow"" href=""/opensearch.xml"">"
"    <meta name=""twitter:card"" content=""summary"">"
"    <meta name=""twitter:domain"" content=""stackoverflow.com""/>"
"    <meta property=""og:type"" content=""website"" />"
""
"    <meta property=""og:image"" itemprop=""image primaryImageOfPage"" content=""https://cdn.sstatic.net/Sites/stackoverflow/img/apple-touch-icon@2.png?v=73d79a89bded"" />"
"    <meta name=""twitter:title"" property=""og:title"" itemprop=""title name"" content=""update session and refresh page with ajax/jquery"" />"
"    <meta name=""twitter:description"" property=""og:description"" itemprop=""description"" content=""I need help with a script that according to 2 parameters updated me a $ _SESSION variable and then refresh the page.  One of these parameters comes from a select and the other according to a select..."" />"
"    <meta property=""og:url"" content=""http://stackoverflow.com/questions/33738647/update-session-and-refresh-page-with-ajax-jquery""/>"
"    <link rel=""canonical"" href=""http://stackoverflow.com/questions/33738647/update-session-and-refresh-page-with-ajax-jquery"" />"
""
"    "
"    "
"    <script src=""https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js""></script>"
"    <script src=""https://cdn.sstatic.net/Js/stub.en.js?v=241c998cf281""></script>"
"    <link rel=""stylesheet"" type=""text/css"" href=""https://cdn.sstatic.net/Sites/stackoverflow/all.css?v=15c902bc598b"">"
""
"            <link rel=""alternate"" type=""application/atom+xml"" title=""Feed for question &#39;update session and refresh page with ajax/jquery&#39;"" href=""/feeds/question/33738647"">"
"            <meta name=""twitter:app:country"" content=""US"" />"
"            <meta name=""twitter:app:name:iphone"" content=""Stack Exchange iOS"" />"
"            <meta name=""twitter:app:id:iphone"" content=""871299723"" />"
"            <meta name=""twitter:app:url:iphone"" content=""se-zaphod://stackoverflow.com/questions/33738647/update-session-and-refresh-page-with-ajax-jquery"" />"
"            <meta name=""twitter:app:name:ipad"" content=""Stack Exchange iOS"" />"
"            <meta name=""twitter:app:id:ipad"" content=""871299723"" />"
"            <meta name=""twitter:app:url:ipad"" content=""se-zaphod://stackoverflow.com/questions/33738647/update-session-and-refresh-page-with-ajax-jquery"" />"
"            <meta name=""twitter:app:name:googleplay"" content=""Stack Exchange Android"">"
"            <meta name=""twitter:app:url:googleplay"" content=""http://stackoverflow.com/questions/33738647/update-session-and-refresh-page-with-ajax-jquery"">"
"            <meta name=""twitter:app:id:googleplay"" content=""com.stackexchange.marvin"">"
"        <script>"
"        "
"            StackExchange.ready(function () {"
"                                    "
"                    StackExchange.using(""snippets"""
